Microsoft (R) COFF/PE Dumper Version 14.33.31630.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file libraylib.dll

File Type: DLL

  Section contains the following exports for libraylib.dll

    00000000 characteristics
           0 time date stamp
        0.00 version
           1 ordinal base
        2033 number of functions
        2033 number of names

    ordinal hint RVA      name

          1    0 0005B2D0 AttachAudioMixedProcessor
          2    1 0005B1B0 AttachAudioStreamProcessor
          3    2 00096220 BeginBlendMode
          4    3 00093590 BeginDrawing
          5    4 00094F90 BeginMode2D
          6    5 00095760 BeginMode3D
          7    6 00096280 BeginScissorMode
          8    7 000961A0 BeginShaderMode
          9    8 00095E30 BeginTextureMode
         10    9 00096390 BeginVrStereoMode
         11    A 00088EE0 CameraMoveForward
         12    B 00089050 CameraMoveRight
         13    C 00089200 CameraMoveToTarget
         14    D 00088FD0 CameraMoveUp
         15    E 00089590 CameraPitch
         16    F 00089C90 CameraRoll
         17   10 00089310 CameraYaw
         18   11 00098FC0 ChangeDirectory
         19   12 000D3250 CheckCollisionBoxSphere
         20   13 000D3200 CheckCollisionBoxes
         21   14 000F22C0 CheckCollisionCircleLine
         22   15 000F1E00 CheckCollisionCircleRec
         23   16 000F1DC0 CheckCollisionCircles
         24   17 000F1E80 CheckCollisionLines
         25   18 000F1BA0 CheckCollisionPointCircle
         26   19 000F2130 CheckCollisionPointLine
         27   1A 000F1CC0 CheckCollisionPointPoly
         28   1B 000F1B60 CheckCollisionPointRec
         29   1C 000F1BE0 CheckCollisionPointTriangle
         30   1D 000F1D70 CheckCollisionRecs
         31   1E 000D31B0 CheckCollisionSpheres
         32   1F 0009B6A0 Clamp
         33   20 00093530 ClearBackground
         34   21 000900A0 ClearWindowState
         35   22 000561E0 CloseAudioDevice
         36   23 00093310 CloseWindow
         37   24 000FD450 CodepointToUTF8
         38   25 0011F9F0 ColorAlpha
         39   26 0011D2C0 ColorAlphaBlend
         40   27 0011F7D0 ColorBrightness
         41   28 0011F8C0 ColorContrast
         42   29 0011F5F0 ColorFromHSV
         43   2A 0011F440 ColorFromNormalized
         44   2B 0011F390 ColorIsEqual
         45   2C 0011FA30 ColorLerp
         46   2D 0011F3F0 ColorNormalize
         47   2E 0011F750 ColorTint
         48   2F 0011F4A0 ColorToHSV
         49   30 0011F3E0 ColorToInt
         50   31 00099190 CompressData
         51   32 00099600 ComputeCRC32
         52   33 000996A0 ComputeMD5
         53   34 000998C0 ComputeSHA1
         54   35 00099460 DecodeDataBase64
         55   36 00099260 DecompressData
         56   37 0005B360 DetachAudioMixedProcessor
         57   38 0005B230 DetachAudioStreamProcessor
         58   39 00098540 DirectoryExists
         59   3A 000910A0 DisableCursor
         60   3B 00093500 DisableEventWaiting
         61   3C 000D25A0 DrawBillboard
         62   3D 000D27B0 DrawBillboardPro
         63   3E 000D26B0 DrawBillboardRec
         64   3F 000D3140 DrawBoundingBox
         65   40 000BED00 DrawCapsule
         66   41 000BF970 DrawCapsuleWires
         67   42 000E8B90 DrawCircle
         68   43 000BC720 DrawCircle3D
         69   44 000E94B0 DrawCircleGradient
         70   45 000E9670 DrawCircleLines
         71   46 000E97C0 DrawCircleLinesV
         72   47 000E8C10 DrawCircleSector
         73   48 000E91D0 DrawCircleSectorLines
         74   49 000E8BE0 DrawCircleV
         75   4A 000BCA50 DrawCube
         76   4B 000BCE40 DrawCubeV
         77   4C 000BCE80 DrawCubeWires
         78   4D 000BD120 DrawCubeWiresV
